Area_sqft,Bedrooms,Bathrooms,Age_years,Garage_spaces,Dist_School_km,Dist_City_km,Crime_Rate,Price_USD
4478,2,2,32,0,8.2,15.4,3.95,501800.0
4057,4,3,5,0,7.5,2.1,1.21,531100.0
4058,5,2,23,0,8.8,16.3,6.7,499000.0
3784,5,2,18,0,2.9,21.5,0.86,496400.0
2236,5,3,15,0,2.1,21.0,5.95,277500.0
4296,5,2,39,0,8.8,7.5,6.3,493200.0
3599,5,3,27,0,6.6,26.2,3.14,469200.0
3752,3,2,32,0,3.2,2.7,6.69,466800.0
1298,4,3,47,2,7.5,30.7,4.37,102000.0
2760,5,1,40,0,8.2,37.9,3.97,264500.0
601,4,3,12,2,6.2,14.3,0.84,147400.0
1241,3,3,42,1,6.9,21.2,2.68,138100.0
2867,3,3,44,0,3.9,15.8,7.48,327600.0
2189,4,3,24,1,5.5,1.3,3.44,310900.0
1454,1,2,41,1,5.3,16.0,4.6,135600.0
2359,2,1,35,1,8.5,31.9,4.49,209400.0
3896,1,3,26,2,8.4,24.2,4.93,421000.0
3032,1,2,37,1,8.4,4.9,0.96,359800.0
4074,1,1,6,1,0.3,34.0,3.22,454100.0
2261,5,1,4,1,7.5,21.7,5.92,288300.0
1753,3,1,42,0,7.6,33.8,2.0,152600.0
1676,1,1,44,0,6.8,23.6,2.03,119700.0
2307,3,3,30,2,7.6,22.8,0.58,314100.0
3377,4,3,22,2,8.5,5.1,3.78,452900.0
2295,2,2,41,0,4.8,7.5,7.12,230000.0
2333,4,2,9,2,5.1,38.9,0.89,313800.0
2039,4,2,31,0,1.4,9.9,1.93,255400.0
2894,5,1,42,1,4.0,39.1,2.83,357400.0
1435,2,1,29,1,6.5,21.7,5.99,114300.0
4110,4,3,38,2,7.8,6.3,5.3,496400.0
802,4,1,30,0,2.3,4.9,3.62,140500.0
3855,2,1,17,0,1.6,9.1,6.19,434700.0
722,2,1,35,2,6.7,37.1,5.07,50000.0
1000,4,2,1,0,0.2,17.2,7.22,151500.0
1366,2,2,13,1,1.9,16.4,6.64,169800.0
893,4,3,12,2,0.5,13.2,2.4,180800.0
2927,4,1,28,2,1.8,6.7,2.54,379000.0
3531,5,1,11,0,2.0,20.0,1.44,462000.0
4281,1,3,38,2,4.0,6.1,3.03,507700.0
797,4,1,1,0,4.1,33.6,8.0,67900.0
3629,3,1,31,0,8.8,15.4,3.54,424900.0
2530,1,2,12,0,5.2,15.6,2.15,294600.0
4182,1,3,45,0,7.3,19.5,6.22,437700.0
3399,1,3,26,0,1.2,18.3,4.57,395300.0
2791,5,3,48,2,2.4,39.8,1.62,360700.0
1208,4,3,40,1,7.1,22.3,3.36,129200.0
3872,5,2,16,1,0.7,4.4,3.61,532700.0
1747,4,2,39,2,5.0,24.7,6.15,234100.0
786,5,1,30,2,6.1,6.9,0.66,159600.0
3997,5,1,33,1,6.1,2.2,2.52,506500.0
3111,3,1,23,1,0.4,38.9,4.38,329400.0
4020,5,1,44,1,3.4,31.2,2.52,463100.0
2394,2,2,34,1,6.4,39.2,5.21,231000.0
1259,3,3,47,1,1.7,19.6,4.11,171500.0
3411,5,2,5,0,7.0,21.8,3.21,443300.0
3602,1,1,18,2,7.5,7.6,7.62,391200.0
2555,2,2,29,0,9.8,10.6,5.24,259200.0
3050,2,3,6,1,2.3,33.7,1.47,375300.0
1969,2,3,9,1,8.3,14.9,4.7,220000.0
2586,3,2,40,1,5.3,33.2,6.36,228800.0
2134,5,2,31,0,3.9,28.7,5.81,271000.0
746,5,2,33,0,1.4,7.9,1.79,122000.0
3819,1,1,27,1,7.4,20.8,7.79,374500.0
3511,1,2,14,0,2.5,27.4,3.87,391000.0
2334,2,2,29,0,3.8,10.2,1.69,297200.0
2443,1,2,36,1,0.8,33.4,1.85,253500.0
1088,3,3,28,0,8.1,22.2,1.24,107500.0
3576,5,3,21,2,7.7,7.4,6.53,467900.0
2559,2,1,3,2,7.4,23.7,1.42,287700.0
2263,1,1,19,2,3.1,40.0,1.44,222300.0
3198,3,3,31,2,1.9,6.9,6.88,424000.0
2985,3,3,35,1,6.4,32.9,3.08,297200.0
3519,1,3,49,1,5.1,9.1,0.73,403300.0
1240,5,2,3,1,1.9,31.5,0.89,188700.0
2402,1,2,26,2,6.9,29.6,1.57,230600.0
3120,2,3,16,2,9.9,12.7,2.1,393100.0
2569,1,2,11,0,7.5,13.7,5.49,246800.0
2798,3,2,21,0,7.5,31.9,1.68,289700.0
2038,1,1,16,2,9.5,19.0,1.39,223600.0
3969,5,3,9,2,2.2,29.5,6.24,536500.0
2234,4,3,0,2,5.7,6.8,5.53,324000.0
862,1,2,21,2,9.8,34.2,3.76,50000.0
2387,5,3,25,0,1.8,28.7,4.62,295300.0
2791,5,1,17,2,7.1,36.4,2.84,349300.0
2993,3,1,49,0,5.9,6.2,4.12,331100.0
1223,5,1,13,2,5.9,24.1,4.3,162500.0
1616,5,3,46,2,7.0,24.4,3.4,214200.0
4243,5,3,28,2,9.3,14.8,7.3,526600.0
1480,5,3,11,0,7.9,18.9,0.62,247800.0
2649,2,3,35,0,0.8,2.5,6.37,306600.0
3544,2,3,34,1,8.6,30.1,1.43,381000.0
1927,3,1,11,2,2.4,22.4,6.48,201500.0
2901,1,2,6,1,3.9,3.3,5.12,340000.0
4323,5,1,28,1,4.7,27.5,6.82,485500.0
1052,1,3,10,0,4.9,19.2,1.23,122900.0
3708,1,1,32,0,4.5,2.3,4.69,406300.0
1783,3,3,5,1,9.4,38.8,4.26,175100.0
3662,5,3,46,2,7.1,38.0,5.8,431200.0
2656,5,1,14,0,6.4,21.0,4.51,344000.0
3904,4,3,31,2,0.7,4.7,4.56,529100.0
3770,1,2,10,2,9.1,30.4,3.72,369700.0
2282,1,3,22,1,9.1,20.2,2.82,273300.0
3463,2,2,25,1,7.8,12.8,4.12,405600.0
2855,4,2,33,1,0.3,20.2,1.39,399400.0
1754,2,3,45,1,0.8,21.4,7.71,191800.0
1003,2,1,33,0,2.4,22.9,5.86,84500.0
2799,2,2,28,0,1.5,18.2,7.64,300600.0
2701,3,1,3,1,4.1,24.6,2.2,322600.0
3791,3,2,16,0,9.2,36.8,7.1,398400.0
2296,2,3,34,1,4.8,15.1,6.57,241800.0
1227,4,3,12,2,0.3,29.3,5.58,183400.0
1186,1,2,40,2,3.0,35.9,5.19,50000.0
2248,4,3,38,2,0.6,18.8,2.87,307700.0
2043,5,2,14,1,0.6,18.3,6.62,298800.0
2045,3,3,28,2,2.9,24.5,4.26,254700.0
703,1,1,28,0,2.9,24.1,1.03,64900.0
853,1,3,10,2,7.9,32.5,2.85,70700.0
3898,5,1,31,2,9.8,19.6,7.51,464600.0
3783,5,3,1,2,3.8,39.8,6.88,461500.0
3157,2,1,46,0,4.4,3.3,7.86,341000.0
2096,3,3,13,1,8.5,1.1,5.21,280400.0
698,3,1,19,0,2.8,26.0,2.36,63100.0
2800,4,2,21,1,1.7,12.6,1.72,340000.0
2484,2,2,10,1,8.6,10.4,1.9,297400.0
3561,2,1,26,2,0.7,13.2,0.65,442600.0
2519,2,3,2,1,6.3,11.0,3.43,334600.0
1477,2,1,16,0,5.7,2.2,1.94,199800.0
937,3,3,43,0,3.6,38.9,3.59,102500.0
4377,3,2,27,1,3.3,9.6,7.51,537500.0
3469,2,3,28,2,7.8,29.6,3.73,381000.0
3834,4,2,20,2,1.0,30.7,7.08,455100.0
4391,1,3,46,0,2.5,37.2,5.04,463700.0
1556,1,3,15,2,7.4,2.2,2.35,212300.0
2304,4,3,36,1,5.6,35.0,3.17,291000.0
760,2,1,19,1,1.5,21.6,1.13,120600.0
2203,3,1,5,0,8.8,25.7,3.0,271400.0
3448,1,2,18,1,4.1,26.1,5.58,389400.0
997,5,2,4,0,8.3,33.0,1.04,143800.0
1900,5,1,2,1,7.9,14.0,2.04,286700.0
1415,4,2,0,0,6.3,29.6,3.36,198600.0
2127,2,1,37,2,5.0,21.6,7.87,194700.0
2519,1,3,14,1,9.8,31.9,6.39,232900.0
2015,2,2,33,1,1.6,39.6,6.0,171700.0
1758,1,2,34,0,7.3,8.8,1.37,167700.0
1818,4,1,48,0,2.1,39.8,6.36,133200.0
1000,4,2,24,1,3.5,4.5,6.39,147300.0
1239,5,2,23,0,3.2,1.1,5.01,178000.0
3704,2,3,11,1,9.5,2.7,7.93,425700.0
3335,5,2,17,2,9.7,14.3,2.94,446900.0
1059,2,3,14,0,2.0,25.7,7.56,102300.0
1554,5,1,43,1,0.4,3.7,7.36,210000.0
1069,3,2,15,2,7.3,1.2,0.59,195100.0
4046,3,3,26,2,4.3,37.5,3.88,486100.0
1645,3,1,7,1,1.1,33.1,7.83,187500.0
3397,3,2,45,0,6.9,32.6,1.27,365900.0
2293,1,1,24,1,5.5,35.5,4.61,222300.0
2685,3,2,16,2,9.8,28.3,7.84,288700.0
2877,4,1,28,1,2.4,5.1,4.67,367200.0
4036,4,1,7,0,4.2,16.6,1.92,525500.0
1162,1,3,14,2,5.5,29.2,4.87,97500.0
3085,3,1,26,1,8.0,11.9,2.03,392800.0
2399,3,2,45,0,5.6,27.8,4.4,236100.0
3954,3,2,49,2,6.2,2.0,1.06,475100.0
2674,5,3,6,0,2.4,12.9,5.04,385100.0
825,2,2,2,2,8.5,22.4,4.38,80700.0
3948,5,2,28,1,4.4,25.7,6.05,506700.0
1397,2,2,43,0,1.6,23.5,5.23,114500.0
4280,3,1,23,2,6.7,28.2,4.62,487400.0
2931,3,1,2,0,2.3,1.2,5.67,348700.0
3526,5,2,19,0,1.2,4.9,1.58,500300.0
1559,5,3,45,1,8.6,34.9,4.97,155400.0
2104,2,1,14,0,4.7,27.6,1.79,229200.0
1052,4,3,24,2,7.5,5.4,7.44,144800.0
3667,2,2,29,2,3.0,33.8,1.01,391400.0
1415,5,2,13,2,7.9,10.4,3.73,218400.0
1258,5,1,6,2,1.3,19.7,5.72,188400.0
4187,1,2,16,1,3.7,6.7,3.94,509000.0
1146,5,1,43,0,9.8,28.7,1.19,135100.0
1815,1,2,19,1,8.0,27.0,4.65,190500.0
3720,4,2,35,0,5.1,9.2,5.31,459700.0
4183,2,1,8,0,3.5,34.7,5.78,450300.0
616,2,1,37,0,8.7,16.7,3.3,50000.0
3843,1,1,47,1,5.5,12.4,4.73,402800.0
1843,2,2,21,0,7.6,6.9,3.88,209000.0
2805,5,2,1,1,7.6,11.4,5.54,372200.0
3124,3,3,23,2,0.4,1.9,4.88,434500.0
1669,1,1,7,2,1.4,23.7,4.44,192600.0
4044,2,2,10,0,6.7,33.8,2.37,436400.0
3165,1,2,12,1,1.8,22.4,0.52,363100.0
2746,1,1,16,2,2.7,9.6,1.81,326100.0
2368,3,3,7,1,9.5,2.3,1.38,319500.0
1660,5,1,20,1,5.7,9.4,3.87,203000.0
2927,1,3,17,0,7.6,17.2,5.09,299600.0
4020,2,2,29,2,5.7,30.6,2.1,437200.0
3144,4,3,17,0,5.6,8.3,7.54,410900.0
901,1,2,45,0,1.1,29.1,0.55,87000.0
780,1,1,46,2,3.6,34.8,6.29,50000.0
1206,3,1,30,2,3.0,18.7,5.19,138900.0
3770,5,1,37,1,4.0,33.0,3.3,452900.0
1299,4,3,31,2,8.0,22.6,0.88,158400.0
1592,2,2,10,1,3.8,25.8,5.21,171300.0
1739,4,1,44,1,4.6,21.5,3.39,228500.0
790,2,1,24,1,4.1,19.1,7.52,57200.0
2900,5,2,32,2,1.1,10.2,4.56,392300.0
1580,2,1,37,0,4.5,12.8,7.55,123100.0
3575,3,2,40,1,2.1,12.3,2.15,408200.0
2606,3,2,7,0,2.0,23.0,5.94,313000.0
1784,3,2,10,0,1.1,5.7,5.13,266800.0
3927,3,2,21,2,3.7,36.8,6.05,430700.0
3994,4,2,23,0,7.6,29.1,2.11,438800.0
727,5,3,40,0,2.9,16.7,5.49,95100.0
2665,2,1,16,2,3.3,7.2,4.24,336300.0
2416,2,3,11,1,6.5,35.4,6.07,245700.0
2358,3,1,45,0,2.1,33.1,2.95,221000.0
3213,3,3,31,2,9.0,29.1,7.18,351500.0
1169,1,2,14,0,5.3,11.6,1.13,132600.0
1946,5,1,15,0,4.6,16.7,6.55,216100.0
2495,4,1,21,1,5.7,5.0,6.96,299900.0
3333,2,3,27,0,1.8,8.4,6.63,385800.0
4463,1,3,19,2,6.2,31.5,4.35,490100.0
1225,1,1,32,0,3.8,28.9,3.79,59400.0
3959,2,3,9,1,9.0,24.1,7.97,453000.0
3501,4,3,39,1,1.9,35.9,2.22,412600.0
2286,1,3,31,2,5.2,23.7,4.6,212400.0
